Unnamed: 0,IDX,Options,Dialogue,Correct answer,Level of ToM,Scenario,Translation key,Translated answer
22,#061,"{'Extra small': ['hot', 'cold'], 'Small': ['lukewarm', 'cold'], 'Regular': ['room temperature', 'iced'], 'Large': ['room temperature', 'iced'], 'Extra large': ['room temperature', 'cold']}
","Albert: ""I know that you don’t know what Cheryl's preference is.""; Bernard: ""At first I didn’t know, but now I know.""","Extra large, cold",3,drink,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","September, 15"
23,#071,"{'Extra small': ['hot', 'cold'], 'Small': ['cold', 'iced'], 'Regular': ['hot', 'lukewarm'], 'Large': ['lukewarm', 'room temperature'], 'Extra large': ['lukewarm', 'room temperature']}
","Benard: ""I know that you know that I don't know what Cheryl's preference is.""; Albert: ""I didn't know at first but now I know.""","Extra small, hot",4,drink,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","May, 18"
24,#053,"{'Extra small': ['hot', 'room temperature'], 'Small': ['lukewarm', 'iced'], 'Regular': ['room temperature', 'iced'], 'Large': ['hot', 'lukewarm'], 'Extra large': ['room temperature', 'cold']}
","Bernard: ""I know what Cheryl's preference is.""","Extra large, cold",1,drink,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","May, 15"
25,#063,"{'Extra small': ['room temperature', 'cold'], 'Small': ['room temperature', 'iced'], 'Regular': ['room temperature', 'iced'], 'Large': ['lukewarm', 'cold'], 'Extra large': ['hot', 'cold']}
","Albert: ""I know that you don’t know what Cheryl's preference is.""; Bernard: ""At first I didn’t know, but now I know.""","Extra small, cold",3,drink,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","September, 15"
26,#073,"{'Extra small': ['lukewarm', 'room temperature'], 'Small': ['lukewarm', 'room temperature'], 'Regular': ['hot', 'lukewarm'], 'Large': ['cold', 'iced'], 'Extra large': ['hot', 'cold']}
","Benard: ""I know that you know that I don't know what Cheryl's preference is.""; Albert: ""I didn't know at first but now I know.""","Extra large, hot",4,drink,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","May, 18"
27,#052,"{'Extra small': ['room temperature', 'iced'], 'Small': ['hot', 'cold'], 'Regular': ['hot', 'room temperature'], 'Large': ['cold', 'iced'], 'Extra large': ['lukewarm', 'room temperature']}
","Bernard: ""I know what Cheryl's preference is.""","Extra large, lukewarm",1,drink,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","May, 15"
28,#062,"{'Extra small': ['lukewarm', 'room temperature'], 'Small': ['hot', 'room temperature'], 'Regular': ['hot', 'room temperature'], 'Large': ['lukewarm', 'cold'], 'Extra large': ['lukewarm', 'iced']}
","Albert: ""I know that you don’t know what Cheryl's preference is.""; Bernard: ""At first I didn’t know, but now I know.""","Extra small, lukewarm",3,drink,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","September, 15"
29,#072,"{'Extra small': ['room temperature', 'cold'], 'Small': ['room temperature', 'cold'], 'Regular': ['cold', 'iced'], 'Large': ['hot', 'lukewarm'], 'Extra large': ['lukewarm', 'iced']}
","Benard: ""I know that you know that I don't know what Cheryl's preference is.""; Albert: ""I didn't know at first but now I know.""","Extra large, iced",4,drink,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","May, 18"
30,#091,"{'On the table': ['clown', 'cat'], 'On the bed': ['doll', 'bunny'], 'On the floor': ['clown', 'train'], 'On the armchair': ['bunny', 'train'], 'On the windowsill': ['doll', 'clown']}
","Bernard: ""I know Cheryl's favourite toy.""","On the table, cat",1,toy,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","May, 15"
31,#101,"{'On the table': ['doll', 'cat'], 'On the bed': ['bunny', 'cat'], 'On the floor': ['clown', 'train'], 'On the armchair': ['clown', 'train'], 'On the windowsill': ['clown', 'cat']}
","Albert: ""I know that you don’t know Cheryl's favourite toy.""; Bernard: ""I didn't know at first, but now I know.""","On the windowsill, cat",3,toy,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","September, 15"
32,#111,"{'On the table': ['doll', 'cat'], 'On the bed': ['cat', 'train'], 'On the floor': ['doll', 'bunny'], 'On the armchair': ['bunny', 'clown'], 'On the windowsill': ['bunny', 'clown']}
","Benard: ""I know that you know that I don't know Cheryl's favourite toy.""; Albert: ""I didn't know at first but now I know.""","On the table, doll",4,toy,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","May, 18"
33,#093,"{'On the table': ['doll', 'clown'], 'On the bed': ['bunny', 'train'], 'On the floor': ['clown', 'train'], 'On the armchair': ['doll', 'bunny'], 'On the windowsill': ['clown', 'cat']}
","Bernard: ""I know Cheryl's favourite toy.""","On the windowsill, cat",1,toy,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","May, 15"
34,#103,"{'On the table': ['clown', 'cat'], 'On the bed': ['clown', 'train'], 'On the floor': ['clown', 'train'], 'On the armchair': ['bunny', 'cat'], 'On the windowsill': ['doll', 'cat']}
","Albert: ""I know that you don’t know Cheryl's favourite toy.""; Bernard: ""I didn't know at first, but now I know.""","On the table, cat",3,toy,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","September, 15"
35,#113,"{'On the table': ['bunny', 'clown'], 'On the bed': ['bunny', 'clown'], 'On the floor': ['doll', 'bunny'], 'On the armchair': ['cat', 'train'], 'On the windowsill': ['doll', 'cat']}
","Benard: ""I know that you know that I don't know Cheryl's favourite toy.""; Albert: ""I didn't know at first but now I know.""","On the windowsill, doll",4,toy,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","May, 18"
36,#092,"{'On the table': ['clown', 'train'], 'On the bed': ['doll', 'cat'], 'On the floor': ['doll', 'clown'], 'On the armchair': ['cat', 'train'], 'On the windowsill': ['bunny', 'clown']}
","Bernard: ""I know Cheryl's favourite toy.""","On the windowsill, bunny",1,toy,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","May, 15"
37,#102,"{'On the table': ['bunny', 'clown'], 'On the bed': ['doll', 'clown'], 'On the floor': ['doll', 'clown'], 'On the armchair': ['bunny', 'cat'], 'On the windowsill': ['bunny', 'train']}
","Albert: ""I know that you don’t know Cheryl's favourite toy.""; Bernard: ""I didn't know at first, but now I know.""","On the table, bunny",3,toy,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","September, 15"
38,#112,"{'On the table': ['clown', 'cat'], 'On the bed': ['clown', 'cat'], 'On the floor': ['cat', 'train'], 'On the armchair': ['doll', 'bunny'], 'On the windowsill': ['bunny', 'train']}
","Benard: ""I know that you know that I don't know Cheryl's favourite toy.""; Albert: ""I didn't know at first but now I know.""","On the windowsill, train",4,toy,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","May, 18"
39,#131,"{'Curly': ['purple', 'pink'], 'Spiky': ['green', 'blue'], 'Straight': ['purple', 'orange'], 'Pixie': ['blue', 'orange'], 'With bangs': ['green', 'purple']}
","Bernard: ""I know what Diane's hair looks like.""","Curly, pink",1,hair,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","May, 15"
40,#141,"{'Curly': ['green', 'pink'], 'Spiky': ['blue', 'pink'], 'Straight': ['purple', 'orange'], 'Pixie': ['purple', 'orange'], 'With bangs': ['purple', 'pink']}
","Albert: ""I know that you don’t know what Diane's hair looks like.""; Bernard: ""I didn't know at first, but now I know.""","With bangs, pink",3,hair,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","September, 15"
41,#151,"{'Curly': ['green', 'pink'], 'Spiky': ['pink', 'orange'], 'Straight': ['green', 'blue'], 'Pixie': ['blue', 'purple'], 'With bangs': ['blue', 'purple']}
","Bernard: ""I know that you know that I don't know what Diane's hair looks like.""; Albert: ""I didn't know at first but now I know.""","Curly, green",4,hair,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","May, 18"
42,#133,"{'Curly': ['green', 'purple'], 'Spiky': ['blue', 'orange'], 'Straight': ['purple', 'orange'], 'Pixie': ['green', 'blue'], 'With bangs': ['purple', 'pink']}
","Bernard: ""I know what Diane's hair looks like.""","With bangs, pink",1,hair,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","May, 15"
43,#143,"{'Curly': ['purple', 'pink'], 'Spiky': ['purple', 'orange'], 'Straight': ['purple', 'orange'], 'Pixie': ['blue', 'pink'], 'With bangs': ['green', 'pink']}
","Albert: ""I know that you don’t know what Diane's hair looks like.""; Bernard: ""I didn't know at first, but now I know.""","Curly, pink",3,hair,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","September, 15"
44,#153,"{'Curly': ['blue', 'purple'], 'Spiky': ['blue', 'purple'], 'Straight': ['green', 'blue'], 'Pixie': ['pink', 'orange'], 'With bangs': ['green', 'pink']}
","Bernard: ""I know that you know that I don't know what Diane's hair looks like.""; Albert: ""I didn't know at first but now I know.""","With bangs, green",4,hair,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","May, 18"
45,#132,"{'Curly': ['purple', 'orange'], 'Spiky': ['green', 'pink'], 'Straight': ['green', 'purple'], 'Pixie': ['pink', 'orange'], 'With bangs': ['blue', 'purple']}
","Bernard: ""I know what Diane's hair looks like.""","With bangs, blue",1,hair,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","May, 15"
46,#142,"{'Curly': ['blue', 'purple'], 'Spiky': ['green', 'purple'], 'Straight': ['green', 'purple'], 'Pixie': ['blue', 'pink'], 'With bangs': ['blue', 'orange']}
","Albert: ""I know that you don’t know what Diane's hair looks like.""; Bernard: ""I didn't know at first, but now I know.""","Curly, blue",3,hair,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","September, 15"
47,#152,"{'Curly': ['purple', 'pink'], 'Spiky': ['purple', 'pink'], 'Straight': ['pink', 'orange'], 'Pixie': ['green', 'blue'], 'With bangs': ['blue', 'orange']}","Bernard: ""I know that you know that I don't know what Diane's hair looks like.""; Albert: ""I didn't know at first but now I know.""","With bangs, orange",4,hair,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","May, 18"
48,#040,"{'May': [17, 18], 'June': [14], 'July': [16, 18], 'August': [15, 16, 17], 'September': [14, 15]}","Albert: ""I don't know when Cheryl's birthday is.""; Bernard: “I didn't know at first, but now I know.”","September, 14",2,birthday,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","September, 14"
49,#041,"{'May': [14, 15], 'June': [18], 'July': [14, 16], 'August': [15, 16, 17], 'September': [17, 18]}","Albert: ""I don't know when Cheryl's birthday is.""; Bernard: “I didn't know at first, but now I know.”","September, 18",2,birthday,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","September, 14"
50,#043,"{'May': [17, 18], 'June': [15, 16, 17], 'July': [14, 16], 'August': [18], 'September': [14, 15]}","Albert: ""I don't know when Cheryl's birthday is.""; Bernard: “I didn't know at first, but now I know.”","May, 18",2,birthday,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","September, 14"
51,#042,"{'May': [14, 15], 'June': [15, 16, 17], 'July': [16, 18], 'August': [14], 'September': [17, 18]}","Albert: ""I don't know when Cheryl's birthday is.""; Bernard: “I didn't know at first, but now I know.”","May, 14",2,birthday,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","September, 14"
52,#080,"{'Extra small': ['cold', 'iced'], 'Small': ['hot'], 'Regular': ['room temperature', 'iced'], 'Large': ['lukewarm', 'room temperature', 'cold'], 'Extra large': ['hot', 'lukewarm']}
","Albert: ""I don't know what Cheryl's preference is.""; Bernard: “I didn't know at first, but now I know.”","Extra large, hot",2,drink,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","September, 14"
53,#081,"{'Extra small': ['hot', 'lukewarm'], 'Small': ['iced'], 'Regular': ['hot', 'room temperature'], 'Large': ['lukewarm', 'room temperature', 'cold'], 'Extra large': ['cold', 'iced']}
","Albert: ""I don't know what Cheryl's preference is.""; Bernard: “I didn't know at first, but now I know.”","Extra large, iced",2,drink,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","September, 14"
54,#082,"{'Extra small': ['hot', 'lukewarm'], 'Small': ['lukewarm', 'room temperature', 'cold'], 'Regular': ['room temperature', 'iced'], 'Large': ['hot'], 'Extra large': ['cold', 'iced']}","Albert: ""I don't know what Cheryl's preference is.""; Bernard: “I didn't know at first, but now I know.”","Extra small, hot",2,drink,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","September, 14"
55,#083,"{'Extra small': ['cold', 'iced'], 'Small': ['lukewarm', 'room temperature', 'cold'], 'Regular': ['hot', 'room temperature'], 'Large': ['iced'], 'Extra large': ['hot', 'lukewarm']}
","Albert: ""I don't know what Cheryl's preference is.""; Bernard: “I didn't know at first, but now I know.”","Extra small, iced",2,drink,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","September, 14"
56,#120,"{'On the table': ['cat', 'train'], 'On the bed': ['doll'], 'On the floor': ['clown', 'train'], 'On the armchair': ['bunny', 'clown', 'cat'], 'On the windowsill': ['doll', 'bunny']}
","Albert: ""I don't know Cheryl's favourite toy.""; Bernard: “I didn't know at first, but now I know.”","On the windowsill, doll",2,toy,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","September, 14"
57,#121,"{'On the table': ['doll', 'bunny'], 'On the bed': ['train'], 'On the floor': ['doll', 'clown'], 'On the armchair': ['bunny', 'clown', 'cat'], 'On the windowsill': ['cat', 'train']}
","Albert: ""I don't know Cheryl's favourite toy.""; Bernard: “I didn't know at first, but now I know.”","On the windowsill, train",2,toy,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","September, 14"
58,#123,"{'On the table': ['cat', 'train'], 'On the bed': ['bunny', 'clown', 'cat'], 'On the floor': ['doll', 'clown'], 'On the armchair': ['train'], 'On the windowsill': ['doll', 'bunny']}
","Albert: ""I don't know Cheryl's favourite toy.""; Bernard: “I didn't know at first, but now I know.”","On the table, train",2,toy,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","September, 14"
59,#122,"{'On the table': ['doll', 'bunny'], 'On the bed': ['bunny', 'clown', 'cat'], 'On the floor': ['clown', 'train'], 'On the armchair': ['doll'], 'On the windowsill': ['cat', 'train']}
","Albert: ""I don't know Cheryl's favourite toy.""; Bernard: “I didn't know at first, but now I know.”","On the table, doll",2,toy,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","September, 14"
60,#160,"{'Curly': ['pink', 'orange'], 'Spiky': ['green'], 'Straight': ['purple', 'orange'], 'Pixie': ['blue', 'purple', 'pink'], 'With bangs': ['green', 'blue']}
","Albert: ""I don't know what Diane's hair looks like.""; Bernard: “I didn't know at first, but now I know.”","With bangs, green",2,hair,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","September, 14"
61,#161,"{'Curly': ['green', 'blue'], 'Spiky': ['orange'], 'Straight': ['green', 'purple'], 'Pixie': ['blue', 'purple', 'pink'], 'With bangs': ['pink', 'orange']}
","Albert: ""I don't know what Diane's hair looks like.""; Bernard: “I didn't know at first, but now I know.”","With bangs, orange",2,hair,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","September, 14"
